"Sample","Mean","SD","NCells","Group"
"sample_1273088",0.346295230101254,1.0884316468398,410,"Negative"
"sample_1273505",0.0273962984261226,1.04947411209684,1288,"Positive"
"sample_6056780",0.000899063016251612,1.04062040791349,1355,"Negative"
"sample_6060100",0.153457728570551,0.973534598090026,1443,"Positive"
"sample_6060150",0.0130447663869106,0.996268629933889,1388,"Positive"
"sample_6060180",-0.00390268020291011,0.983677274653868,1306,"Positive"
"sample_6060280",0.0715328034015506,1.04391160175989,1469,"Positive"
"sample_6065400",-0.0655398300719896,1.17002391764742,4150,"Positive"
"sample_6072090",-0.0496466388596469,0.967062356860078,4728,"Negative"
"sample_6072210",-0.0106270269975804,0.938572603333005,1063,"Negative"
