Module	Present	Missing	Present_Genes	Missing_Genes
TGFb_ReceptorsLigands	8	0	TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TGFBR3;ENG;ACVRL1	
TGFb_SMAD_Core	7	0	SMAD2;SMAD3;SMAD4;SMAD7;SKI;SKIL;PMEPA1	
TGFb_Downstream	11	0	FOXP3;IKZF2;CTLA4;LRRC32;ITGAE;CCR7;SELL;SERPINE1;PTPN14;COL1A1;COL3A1	
TGFb_Noncanonical	12	0	MAPK14;MAPK8;MAPK9;MAP3K7;FOS;JUN;PIK3CD;AKT1;MTOR;RPTOR;NFKBIA;RELB	
IL10_STAT3_ReceptorsTransducers	3	0	IL10RA;IL10RB;STAT3	
IL10_STAT3_TFH_Adjacent_TFs	4	0	BCL6;MAF;BATF;PIM1	
IL10_STAT3_Treg_Overlap	3	0	FOXP3;CTLA4;IKZF2	
IL10_STAT3_Myeloid_M2_Hue	3	0	MRC1;MSR1;CD163	
Reservoir_CD4_Tfh_Core	8	0	CXCR5;PDCD1;ICOS;BCL6;MAF;BATF;SH2D1A;IL21	
Reservoir_CD4_Tph_Discriminator	5	0	PRDM1;CXCL13;CCR2;PDCD1;ICOS	
Reservoir_CD4_Reservoir_Memory	5	0	TCF7;CCR7;SELL;BCL2;IL7R	
ISG_TypeI	18	0	ISG15;IFI6;IFI44L;IFIT1;IFIT3;MX1;MX2;OAS1;OAS2;OAS3;RSAD2;IFITM1;IFITM2;IFITM3;BST2;TRIM5;APOBEC3G;SAMHD1	
ISG_TypeII	6	0	STAT1;IRF1;GBP1;GBP5;CXCL9;CXCL10	
Myeloid_Inflammatory	9	0	IL1B;TNF;NFKBIA;NFKBIZ;CCL2;CXCL8;SERPINA1;S100A8;S100A9	
Myeloid_Regulatory	10	0	IL10RA;IL10RB;STAT3;SOCS3;TGFB1;TGFBR1;TGFBR2;MRC1;MSR1;CD163	
Myeloid_DC_Maturation	6	0	CCR7;LAMP3;FSCN1;CCL19;CD40;RELB	
NK_Inhibition	2	0	KLRC1;KLRD1	
NK_Effector	4	0	PRF1;GNLY;NKG7;GZMK	
NK_Activation	4	0	IFNG;XCL1;XCL2;CCL5	
CD8_Effector	7	0	PRF1;GNLY;NKG7;CCL5;XCL1;XCL2;IFNG	
CD8_Memory	5	0	TCF7;CCR7;SELL;BCL2;IL7R	
CD8_Exhaustion	6	0	PDCD1;TIGIT;LAG3;HAVCR2;TOX;EOMES	
Bcell_GC_like	7	0	BCL6;CXCR5;AICDA;S1PR2;RGS13;MEF2B;BACH2	
Bcell_Atypical_ABC	4	0	TBX21;ITGAX;FCRL5;ZEB2	
Bcell_Plasmablast	6	0	PRDM1;XBP1;JCHAIN;MZB1;SDC1;TNFRSF17	
Autophagy_Initiation	12	0	ULK1;RB1CC1;ATG13;ATG101;BECN1;PIK3C3;PIK3R4;ATG14;WIPI1;WIPI2;ATG2A;ATG2B	
Autophagy_Conjugation	11	0	ATG5;ATG12;ATG16L1;ATG7;ATG3;MAP1LC3A;MAP1LC3B;MAP1LC3B2;GABARAP;GABARAPL1;GABARAPL2	
Autophagy_Fusion	5	0	RAB7A;STX17;SNAP29;VAMP8;EPG5	
Autophagy_Lysosome	9	0	LAMP1;LAMP2;CTSD;CTSB;ATP6V1A;ATP6V1B2;ATP6V0D1;PSAP;MCOLN1	
Autophagy_CLEAR_TFs	3	0	TFEB;TFE3;MITF	
Autophagy_Cargo	6	0	SQSTM1;NBR1;OPTN;CALCOCO2;TAX1BP1;TOLLIP	
Autophagy_Mitophagy	8	0	PINK1;PRKN;BNIP3;BNIP3L;FUNDC1;PHB2;FKBP8;BCL2L13	
Autophagy_Xenophagy	11	0	NOD2;RIPK2;TBK1;OPTN;CALCOCO2;SQSTM1;TAX1BP1;LRSAM1;ATG16L1;ATG5;ATG7	
Autophagy_cGAS_STING	2	0	STING1;CGAS	
Autophagy_mTORC	7	0	MTOR;RPTOR;MLST8;RHEB;TSC1;TSC2;DEPDC5	
Autophagy_AMPK	5	0	PRKAA1;PRKAA2;PRKAB1;PRKAG1;STK11	
